npz_path,class_id,parcel_id,cover_pixels,n_channels
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000020.npz,0,20,51,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000021.npz,0,21,51,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000031.npz,1,31,90,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000034.npz,4,34,89,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000036.npz,17,36,56,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000038.npz,0,38,88,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000045.npz,0,45,55,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000049.npz,1,49,72,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000052.npz,0,52,57,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000069.npz,0,69,55,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000071.npz,8,71,350,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000074.npz,0,74,107,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000075.npz,1,75,320,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000076.npz,9,76,56,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000077.npz,0,77,52,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000081.npz,2,81,114,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000083.npz,8,83,80,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000084.npz,0,84,64,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000085.npz,1,85,104,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000086.npz,0,86,89,61
/content/drive/MyDrive/parcel_centric/data/parcel_chips_cls/parcel_00000088.npz,0,88,55,61
